Dex,Pokemon,Art,Artist,Artist's ID
303,Mawile,https://i.imgur.com/Z4ykmtM.png,Anoea#3441,285861483412193280
304,Aron,https://i.imgur.com/ICiThcs.png,Kiyu_067#0591,775549954080899142
305,Lairon,https://i.imgur.com/QYGlwdG.png,Kiyu_067#0591,775549954080899142
306,Aggron,https://i.imgur.com/BT4a2iK.png,Kiyu_067#0591,775549954080899142
307,Meditite,https://i.imgur.com/mBehkqs.png,Anoea#3441,285861483412193280
308,Medicham,https://i.imgur.com/a9Ed75q.png,Anoea#3441,285861483412193280
309,Electrike,https://i.imgur.com/trRYapq.png,Kiyu_067#0591,775549954080899142
310,Manectric,https://i.imgur.com/zK8MSst.png,Kiyu_067#0591,775549954080899142
311,Plusle,https://i.imgur.com/Sd9ATBW.png,§CrepeMewtwo§#0482,834780655514157116
312,Minun,https://i.imgur.com/0XEeisE.png?1,JynErso#2806,449792537272516628
313,Volbeat,https://i.imgur.com/wc9ySlM.png,gazplum#3889,615359666205229076
314,Illumise,https://i.imgur.com/4yfAgaL.png,BluBambii | Jess#6814,712521240602214400
315,Roselia,https://i.imgur.com/sb59pZ9.png,BluBambii | Jess#6814,712521240602214400
316,Gulpin,https://i.imgur.com/Ns7nZnS.png,BluBambii | Jess#6814,712521240602214400
317,Swalot,https://i.imgur.com/VacDc3U.png,BluBambii | Jess#6814,712521240602214400
318,Carvanha,https://i.imgur.com/0IlIdft.png,Kiyu_067#0591,775549954080899142
319,Sharpedo,https://i.imgur.com/bomqnMx.png,Kiyu_067#0591,775549954080899142
320,Wailmer,https://i.imgur.com/yhzvoOL.png,SuperJedi224#2591,304098467192635392
321,Wailord,https://i.imgur.com/hK13opI.png,Sept#8911,891522852182982656
322,Numel,https://i.imgur.com/ZlLXfvb.png,Chaotic Havoc#7512,326895657803710477
323,Camerupt,https://i.imgur.com/lClRV7J.png,Chaotic Havoc#7512,326895657803710477
324,Torkoal,https://i.imgur.com/y7j8TMy.png,SuperJedi224#2591,304098467192635392
325,Spoink,https://i.imgur.com/Xr3rYOP.png,Anoea#3441,285861483412193280
326,Grumpig,https://i.imgur.com/yn9cXnv.png,Yiqii#6383,297842109514383360
327,Spinda,https://i.imgur.com/VXizByl.png,BluBambii | Jess#6814,712521240602214400
328,Trapinch,https://i.imgur.com/XEx9feA.png,Sept#8911,891522852182982656
329,Vibrava,https://i.imgur.com/Phaietw.png,Kiyu_067#0591,775549954080899142
330,Flygon,https://i.imgur.com/P4QETlR.png,Sept#8911,891522852182982656
331,Cacnea,https://i.imgur.com/yHjbx0O.png,Sept#8911,891522852182982656
332,Cacturne,https://i.imgur.com/LmpBDIu.png,Sept#8911,891522852182982656
333,Swablu,https://i.imgur.com/4Mbyrts.png,Sept#8911,891522852182982656
334,Altaria,https://i.imgur.com/MEu1xOP.png,Sept#8911,891522852182982656
335,Zangoose,https://i.imgur.com/uFmO5Ef.png,Chaotic Havoc#7512,326895657803710477
336,Seviper,https://i.imgur.com/AUSwrC4.png,Kiyu_067#0591,775549954080899142
337,Lunatone,https://i.imgur.com/7HW9NF3.png,Anoea#3441,285861483412193280
338,Solrock,https://i.imgur.com/499rDDN.png,Anoea#3441,285861483412193280
339,Barboach,https://i.imgur.com/T4rqjRa.png,Anoea#3441,285861483412193280
340,Whiscash,https://i.imgur.com/KKpfNx2.png,Kiyu_067#0591,775549954080899142
341,Corphish,https://i.imgur.com/umryfnM.png,Kiyu_067#0591,775549954080899142
342,Crawdaunt,https://i.imgur.com/5roKiQ3.png,Kiyu_067#0591,775549954080899142
343,Baltoy,https://i.imgur.com/ydB9v2L.png,Sept#8911,891522852182982656
344,Claydol,https://i.imgur.com/qG6Oi8i.png,Kiyu_067#0591,775549954080899142
345,Lileep,https://i.imgur.com/nDlGwWW.png,Anoea#3441,285861483412193280
346,Cradily,https://i.imgur.com/vPjVHrQ.png,Anoea#3441,285861483412193280
347,Anorith,https://i.imgur.com/2HJzZE0.png,🍄bwl626🍄#5858,370362708765310977
348,Armaldo,https://i.imgur.com/Kr4Rac0.png,🍄bwl626🍄#5858,370362708765310977
349,Feebas,https://i.imgur.com/lwlsNju.png,Anoea#3441,285861483412193280
350,Milotic,https://i.imgur.com/PCQuho5.png,MozzSylveon700#0772,807345153051590701
351,Castform,https://i.imgur.com/9O70NWx.png,Dagger_Mace#5953,611659645760831506
352,Kecleon,https://i.imgur.com/PjR34A3.png,Chaotic Havoc#7512,326895657803710477
353,Shuppet,https://i.imgur.com/c5AEu7z.png,Sept#8911,891522852182982656
354,Banette,https://i.imgur.com/OzitPaU.png,Sept#8911,891522852182982656
355,Duskull,https://i.imgur.com/sAJ4NSJ.png,SuperJedi224#2591,304098467192635392
356,Dusclops,https://i.imgur.com/RGAkurd.png,BluBambii | Jess#6814,712521240602214400
357,Tropius,https://i.imgur.com/zYdF8A9.png,Anoea#3441,285861483412193280
358,Chimecho,https://i.imgur.com/WcyBcc1.png,JynErso#2806,449792537272516628
359,Absol,https://i.imgur.com/Hi8IwzN.png,SuperJedi224#2591,304098467192635392
360,Wynaut,https://i.imgur.com/fE5RpP1.png,Kiyu_067#0591,775549954080899142
361,Snorunt,https://i.imgur.com/NG4W1N8.png,SuperJedi224#2591,304098467192635392
362,Glalie,https://i.imgur.com/rglhrlK.png,SuperJedi224#2591,304098467192635392
363,Spheal,https://i.imgur.com/EzKUIHQ.png,Kiyu_067#0591,775549954080899142
364,Sealeo,https://i.imgur.com/XNnn94w.png,Sept#8911,891522852182982656
365,Walrein,https://i.imgur.com/hkapbIK.png,Kiyu_067#0591,775549954080899142
366,Clamperl,https://i.imgur.com/Ao4RU1y.png,BlueLego#2332,711892049842012190
367,Huntail,https://i.imgur.com/6x3nhbb.png,Anoea#3441,285861483412193280
368,Gorebyss,https://i.imgur.com/tQDd2HU.png,Sept#8911,891522852182982656
369,Relicanth,https://i.imgur.com/GMZonvv.png,Taffy#3090,342473674902732810
370,Luvdisc,https://i.imgur.com/mkr1PnL.png,Kiyu_067#0591,775549954080899142
371,Bagon,https://i.imgur.com/ioMiSDB.png,Kiyu_067#0591,775549954080899142
372,Shelgon,https://i.imgur.com/c2WGwZF.png,Kiyu_067#0591,775549954080899142
373,Salamence,https://i.imgur.com/7NrWsBr.png,Kiyu_067#0591,775549954080899142
374,Beldum,https://i.imgur.com/U7TvhLI.png,Kiyu_067#0591,775549954080899142
375,Metang,https://i.imgur.com/Hca6iLs.png,SuperJedi224#2591,304098467192635392
376,Metagross,https://i.imgur.com/prQum7p.png,Kiyu_067#0591,775549954080899142
377,Regirock,https://i.imgur.com/is5GrSV.png,SuperJedi224#2591,304098467192635392
378,Regice,https://i.imgur.com/0PEBPRM.png,SuperJedi224#2591,304098467192635392
379,Registeel,https://i.imgur.com/ZgJPzFi.png,SuperJedi224#2591,304098467192635392
380,Latias,https://i.imgur.com/7t9g7Wd.png,Kiyu_067#0591,775549954080899142
381,Latios,https://i.imgur.com/Pp0mlnW.png,Kiyu_067#0591,775549954080899142
382,Kyogre,https://i.imgur.com/yroZoFT.png,Kiyu_067#0591,775549954080899142
383,Groudon,https://i.imgur.com/b2CZU05.png,Chaotic Havoc#7512,326895657803710477
384,Rayquaza,https://i.imgur.com/fFNffOY.png,Anoea#3441,285861483412193280
385,Jirachi,https://i.imgur.com/Kd6H62u.png,Kiyu_067#0591,775549954080899142
386,Deoxys,https://i.imgur.com/rFIM11z.png,SuperJedi224#2591,304098467192635392
387,Turtwig,https://i.imgur.com/m30bgSo.png,bubblesstann#3132,483265131611029518
388,Grotle,https://i.imgur.com/PDDsgyM.png,Kiyu_067#0591,775549954080899142
389,Torterra,https://i.imgur.com/wYGLMwa.png,Purgatory#4604,216317211042775050
390,Chimchar,https://i.imgur.com/GKUwBOe.png,SuperJedi224#2591,304098467192635392
391,Monferno,https://i.imgur.com/mrn0E5D.png,BlueLego#2332,711892049842012190
392,Infernape,https://i.imgur.com/bbwAoRE.png,Chaotic Havoc#7512,326895657803710477
393,Piplup,https://i.imgur.com/VZyssDo.png,SuperJedi224#2591,304098467192635392
394,Prinplup,https://i.imgur.com/66uQfiJ.png,SuperJedi224#2591,304098467192635392
395,Empoleon,https://i.imgur.com/4ZZcs0H.png,SuperJedi224#2591,304098467192635392
396,Starly,https://i.imgur.com/ifSuF72.png,Kiyu_067#0591,775549954080899142
